nombre,precio,categoria_id
Intel NUC 13 Extreme Kit NUC13RNGi7 Intel Core i7-13700K,1456.95,3
ASUS ExpertCenter PN64-BB7004MDE1 Intel Core i7-13700H,846.62,3
ASUS ExpertCenter PN64-BB5003MDE1 Intel Core i5-13500H,821.9,3
ASUS ExpertCenter PN64-BB5013MD Intel Core i5-12500H,776.23,3
ASUS NUC 13 RNUC13ANHI700002I Intel Core i7-1360P,725.89,3
ASUS NUC 13 RNUC13ANKI700002I UCFF Intel Core i7-1360P,699.0,3
ASUS NUC 12 Pro Kit UCFF RNUC12WSHi70002 Intel Core i7-1260P,694.49,3
ASUS NUC 12 Wall Street Canyon Kit Slim NUC12WSKI70002 Intel Core i7-1260P,690.48,3
ASUS ExpertCenter PN53-BBR575HD AMD Ryzen 5 7535H,626.0,3
ASUS NUC 12 RNUC12WSKV500002I UCFF Intel Core i5-1250P,569.0,3
