producto_id,producto,caracteristica_1,caracteristica_2,caracteristica_3,caracteristica_4,caracteristica_5,caracteristica_6,caracteristica_7,caracteristica_8,caracteristica_9,caracteristica_10,caracteristica_11,caracteristica_12,caracteristica_13,caracteristica_14,caracteristica_15,caracteristica_16
37,NZXT Kraken Elite 360 RGB Kit de Refrigeración Líquida,"PERSONALIZACIÓN QUE DESTACA: Exhibe tu imagen estática o GIF animado preferidos, controla los parámetros de rendimiento del PC en tiempo real, ve la música que se está reproduciendo, integra contenido web y muchas cosas más con el software NZXT CAM.","PANTALLA LCD CON GRAN ÁNGULO DE VISIÓN: Pantalla LCD de 2,36” de diámetro con gran ángulo de visión, resolución nítida de 640 ?640, alta frecuencia de refresco de 60 Hz y retroiluminación intensa de 690 cd/m² que da vida al contenido en pantalla.",BOMBA DE ALTO RENDIMIENTO: La potente bomba de Asetek cuenta con un motor trifásico que funciona a hasta 2800 r. p. m. para garantizar una circulación del refrigerante eficiente y silenciosa.,REFRIGERACIÓN COLORIDA: Los ventiladores Core RGB con rodamientos dinámicos fluidos proporcionan un equilibrio óptimo entre la presión estática y el flujo de aire para una refrigeración potente y una iluminación RGB intensa.,FÁCIL DE INSTALAR: Un único cable breakout conecta la bomba a la placa base para simplificar la instalación.,TUBOS REFORZADOS: Los maguitos de nailon trenzado protegen los tubos de goma frente a fugas y garantizan una manipulación sin preocupaciones.,COMPATIBILIDAD DE PROCESADOR: Incluye todas las herramientas de montaje necesarias para zócalos de procesador Intel y AMD.,Desempeño,Localización adecuada: Procesador,Tipo: Sistema de refrigeración líquida todo en uno,Diámetro de ventilador: 12 cm,"Sockets de procesador soportados: LGA 1150 (Zócalo H3), LGA 1151 (Zócalo H4), LGA 1155 (Socket H2), LGA 1156 (Socket H), LGA 1200 (Socket H5), LGA 1700, Zócalo AM4, Zócalo AM5, Socket sTR4, Socket sTRX4","Procesador compatible: AMD Ryzen™ 3, AMD Ryzen™ 5, AMD Ryzen™ 7, AMD Ryzen™ Threadripper™, Intel® Core™ i3, Intel® Core™ i5, Intel® Core™ i7, Intel® Core™ i9","Máximo flujo de aire: 78,86 cfm","Presión máxima de aire: 2,57 mmH2O",Compatible con modulación por ancho de pulsos (PWM): Si
54,Forgeon Bolt PSU 1000W 80+ Gold Full Modular Negra,Ahorra espacio,Fácil instalación,Mayor eficiencia energética,Mayor fiabilidad y protección,CABLES MODULARES,EFICIENCIA 80+ GOLD CERTIFICADA,100 % CAPACITADORES JAPONESES 105 ° C,"PROTECCIONES CONTRA Sobrevoltaje (OVP), Cortocircuito (SCP), Bajo voltaje (UVP), Sobretensión (OPP) Sobrecorriente (OCP) Sobrecalentamiento (OTP))",Modelo: BOLT 1000W,Dimensiones: 150mm x 86mm x 160mm,Formato: ATX,"Peso: 2,7Kg","Puertos e interfaces 1x Alimentador de energía para placa base: 20+4 pin ATX, Longitud 600mm 2x Conector de energía EPS (8-pin), Longitud 700mm 4x Conectores de energía PCI Express (6 + 2 pin), Longitud 550mm+150mm 9x Conectores de energía SATA, Longitud ","1x Alimentador de energía para placa base: 20+4 pin ATX, Longitud 600mm","2x Conector de energía EPS (8-pin), Longitud 700mm","4x Conectores de energía PCI Express (6 + 2 pin), Longitud 550mm+150mm"
145,SanDisk Extreme SSD Externo V2 4TB USB-C,Potente y portátil. Obtén el veloz rendimiento de estado sólido NVMe™ con velocidades de lectura de 1050 MB/s2 y velocidades de escritura de 1000 MB/s2 en una unidad portátil de alta capacidad que es perfecta para crear contenidos increíbles o capturar fa,Lo suficientemente resistente como para llevarla contigo. La protección contra caídas hasta dos metros y resistencia al agua y al polvo con calificación IP555 hacen que esta unidad duradera sea ultrarresistente.,Viaja sin inconvenientes. Tendrás mayor tranquilidad con la garantía limitada de 5 años3 y la duradera carcasa de silicona que ofrece un acabado superior y mayor protección para el exterior de la unidad.,Va dondequiera que vayas. Utiliza el práctico gancho de mosquetón para sujetar la unidad a tu cinturón o mochila y tener mayor seguridad en exteriores.,Asegura tus archivos. Mantén tu contenido privado con la protección con contraseña incluida con cifrado de hardware AES de 256 bits.4,"Almacenamiento de calidad profesional. De SanDisk®, la marca en la que confían fotógrafos profesionales de todo el mundo para sus mejores tomas e imágenes.",Unidad de estado sólido,"SDD, capacidad: 4000 GB",NVMe: Si,Velocidad de lectura: 1050 MB/s,Velocidad de escritura: 1000 MB/s,"SDD, capacidad: 4000 GB",NVMe: Si,Velocidad de lectura: 1050 MB/s,Velocidad de escritura: 1000 MB/s,Puertos e Interfaces
27,Tempest Liquid Cooler 240 ARGB Kit Refrigeración Líquida Blanco,"Enfría tu procesador: Olvida los viejos ventiladores de aire y pásate a enfriar tu procesador de una forma avanzada y óptima, asegurando menores temperaturas en verano y mayor esperanza de vida en tu equipo, incluso con el modo OC el procesador estará con","Disfruta de su instalación: Referente a su instalación no tienes de qué preocuparte ya que es mucho más sencilla que los refrigeradores de aire. A esto, debemos sumarle el poco espacio que ocupa, su estética y diseño que marcarán un antes y un después en ","Efectos impactantes: Gracias a su sistema de iluminación A-RGB sincronizable podrás disfrutar de una iluminación acorde al resto de tus componentes, y al utilizar el sistema de conexión estándar de 3pin 5v no importa que modelo o marca utilices. Lleva la ",Compatibilidad y limpieza: En cuanto a compatibilidad con sus procesadores no importa por el que te decantes. Este monstruo está preparado para enfriar tanto procesadores Intel como AMD. También su diseño está pensado para mantener limpios todos tus compo,"Compatible: Intel:LGA 115x,1200,1700,2011,2011-v3,2066 AMD: FM2/+,AM2/+,AM3/+,AM4,AM5","Intel:LGA 115x,1200,1700,2011,2011-v3,2066","AMD: FM2/+,AM2/+,AM3/+,AM4,AM5",Voltaje: 12V / 5V(LED),Ventiladores: 2PCS,Tamaño ventilador: 120*120*25mm,Tamaño radiador: 274*120*27mm,Longitud tubo: 400mm,Diametro tubo: Diámetro exterior Ø14mm Diámetro interior Ø5.8mm,Diámetro exterior Ø14mm,Diámetro interior Ø5.8mm,Tamaño bomba: 78.5*70*54mm
162,Forgeon Overmind Ventiladores Suplementarios Interconectables Pack 3x 120mm ARGB PWM Negros,"Iluminación Atractiva: Los ventiladores Forgeon Overmind de 120mm ofrecen una iluminación RGB que permite una amplia variedad de efectos y colores, llevando la estética de tu configuración gaming a un nivel superior.",Diseño modular: gracias a su conexión en formato click ofrece versatilidad al permitir cambiarlos fácilmente para adaptarse a la estética y las necesidades de tu sistema.,"Alto Rendimiento: Con velocidades ajustables entre 800 y 2000 RPM, estos ventiladores proporcionan un flujo de aire potente (60.5 CFM) y una presión de aire significativa (2 mm H2O) para un enfriamiento óptimo.","Operación Silenciosa: A pesar de su rendimiento, estos ventiladores mantienen un nivel de ruido máximo de 29 dBA, asegurando un ambiente de juego inmersivo y sin molestias.",Velocidad del ventilador: 800-2000 RPM+/-10%,Nivel de ruido Max: 29 dBA,Caudal de aire: 60.5CFM,Presión del aire: 2 mm H2O,Tensión nominal del ventilador: 12V,Corriente nominal del ventilador: 0.3A,Tensión nominal LEF: 5V,Corriente nominal del LED: 0.75A,Tipo de rodamiento: Rodamiento hidráulico dinámico,Conector del ventilador: 4Pin PWM,Conector RGB direccionable: 3Pin,Conector del ventilador principal: 4x7Pin
24,Corsair iCUE H100i RGB ELITE Kit de Refrigeración Líquida 240mm Blanca,"Refrigeración avanzada de CPU todo en uno: Ofrece todo lo necesario para que su CPU AMD o Intel funcione a pleno rendimiento, frenando el calentamiento incluso de los procesadores de alta gama.",Diseño de cabezal de bomba moderno con 16 LED RGB: Un moderno diseño de cabezal de la bomba con 16 LED RGB direccionables individualmente da un aspecto único y ofrece efectos de iluminación increíbles,Rendimiento de refrigeración de vanguardia: Mejore el rendimiento de su CPU con una refrigeración líquida impulsada por dos ventiladores CORSAIR AF ELITE Series AirGuide de 120 mm que proporcionan un potente flujo de aire controlado por PWM de entre 400 y,"Unifique su sistema: El potente software CORSAIR iCUE le permite controlar y sincronizar la iluminación RGB del refrigerador con todos los dispositivos compatibles con iCUE, supervisar las temperaturas de la CPU y el refrigerante, y ajustar las velocidade",Modos de refrigeración especializados para un funcionamiento silencioso: El ventilador Zero RPM y los modos de refrigeración especializados de velocidad variable de la bomba en iCUE mantienen el ruido al mínimo cuando el sistema está en reposo o bajo carg,Placa refrigerante y bomba de alto rendimiento: Equipado con una placa refrigerante de cobre optimizada con compuesto térmico preaplicado y diseño de bomba de bajo ruido para una refrigeración silenciosa y de alto rendimiento,Radiador de gran superficie: Un radiador de 240 mm con una gran superficie disipa eficazmente el calor de la CPU,"Instalación sencilla: Soporte de montaje modular sin herramientas para facilitar y agilizar la instalación en los últimos zócalos de placa base Intel y AMD, incluyendo LGA 1700, 1200, 115X y 2066, junto con AMD AM5 y AM4.",Dimensiones del Radiador (mm): 277 mm x 120 mm x 27 mm,Material de la placa refrigerante: Cobre,Material del radiador: Aluminio,Ventiladores incluidos: 2 ventiladores AF120 ELITE,Velocidad máxima del ventilador: 400-1.850 RPM,Dimensiones del ventilador: 120 x 120 x 25 mm,"Flujo de aire del ventilador: 10,8-59,1 CFM","Presión estática del ventilador: 0,09-1,93 mm-H2O"
126,Crucial X9 SSD Disco Duro Externo 1TB USB-C,"Aumente su almacenamiento. Olvídese de las cuotas mensuales de almacenamiento en la nube y disponga de más espacio para los videojuegos, fotos, vídeos y archivos que más le gustan con velocidades de lectura de hasta 1050 MB/s. Cargue archivos hasta 7,5 ve","Compatibilidad plug-and-play. Con una sencilla conexión USB-C, la SSD portátil Crucial X9 es la solución de almacenamiento compatible perfecta para su PC, Mac, tableta, consola de videojuegos, Android™ y mucho más.","Durabilidad sobre la marcha. A diferencia de la fragilidad de los discos duros portátiles, la SSD Crucial X9 portátil es duradera y fiable. A prueba de golpes, vibraciones y caídas de hasta 2,2 metros, la X9 también está diseñada para soportar fluctuacion","Haga copia de seguridad de todo lo que importa. No pierda nunca más otro archivo, foto o vídeo. En su lugar, haga una copia de seguridad de todas sus cosas favoritas en su SSD portátil Crucial X9. La X9 funciona con el historial de archivos de Windows, Ap","Calidad, confianza y diseño práctico. Diseñada por Micron®, la SSD portátil Crucial X9 es ligera, duradera y su diseño de 65 × 50 mm incluye un orificio para cordón pensado ofrecer una máxima portabilidad.",Unidad de estado sólido,"SDD, capacidad: 1 TB",NVMe: No,Velocidad de lectura: 1050 MB/s,"SDD, capacidad: 1 TB",NVMe: No,Velocidad de lectura: 1050 MB/s,Puertos e Interfaces,Conector USB: USB Tipo C,Versión USB: 3.2 Gen 2 (3.1 Gen 2),Tecnología Thunderbolt (Rayo): No
79,Corsair RM White Series RM750 750W 80 Plus Gold Full Modular,POTENCIA SILENCIOSA CON CERTIFICACIÓN GOLD: Las fuentes de alimentación completamente modulares y de nivel sonoro ultrarreducido CORSAIR RM Series con varios conectores EPS12V proporcionan una potencia eficiente a su PC gracias a la certificación 80 PLUS ,DISPONIBLE EN BLANCO O NEGRO: ¿Lo suyo es más la discreción o el minimalismo moderno? Las fuentes de alimentación RM Series están disponibles en blanco y negro para adaptarse al estilo de su configuración.,"OPTIMIZADA PARA UN FUNCIONAMIENTO PRÁCTICAMENTE SIN RUIDO: Un ventilador de 140 mm con rodamiento de rifle y una curva calculada especialmente garantiza que, incluso a toda potencia, el ruido del ventilador se mantenga al mínimo.","ALTA EFICIENCIA: Con una eficiencia máxima superior al 90 %, RM produce menos ruido y calor, lo que implica a su vez menos tiempo de preocupaciones y más para dedicar al juego.","COMPLETAMENTE MODULAR, CON MÚLTIPLES CONECTORES EPS12V: El cableado completamente modular implica que solo se conectan los cables que el sistema necesita; además, la amplia variedad de cables incluidos amplía la compatibilidad con las tarjetas gráficas y ","MODO DE VENTILADOR SIN REVOLUCIONES: A cargas medias y bajas el ventilador de refrigeración se desactiva completamente para que disfrute de un funcionamiento prácticamente silencioso. Cuando el nivel de actividad se incrementa, el ventilador se activa par","TECNOLOGÍA Y FIABILIDAD: Para lograr un rendimiento eléctrico excelente y una alimentación constante y fiable, cada fuente de alimentación RM Series incluye la robusta topología LLC con conversión CC-CC, así como condensadores de categoría industrial con ","SU CONFIGURACIÓN, A SU GUSTO: Todas las fuentes de alimentación CORSAIR completamente modulares son compatibles con una amplia variedad de accesorios CORSAIR. Dado que dispone desde cables con fundas individuales en una amplia variedad de combinaciones de",Control de energía,Potencia total: 750 W,Voltaje de entrada AC: 100 - 240 V,Frecuencia de entrada AC: 47 - 63 Hz,Corriente de entrada: 10 - 5 A,"Potencia combinada (3,3 V): 150 W",Potencia combinada (+12 V): 750 W,Potencia combinada (+5 V): 150 W
11,Tempest Liquid Cooler 360 RGB Kit de Refrigeración Líquida 360mm Negro,Compatibilidad con Intel y AMD,Luz RGB,Fácil Instalación,"Enfría tu procesador: Olvida los viejos ventiladores de aire y pásate a enfriar tu procesador de una forma avanzada y óptima, asegurando menores temperaturas en verano y mayor esperanza de vida en tu equipo.","Disfruta de su instalación: Referente a su instalación no tienes de qué preocuparte, ya que es mucho más sencilla que los refrigeradores de aire. A esto, debemos sumarle el poco espacio que ocupa, su estética y diseño que marcarán un antes y un después en","Modo overclocking: Desde su fabricación se ha pensado en todas las posibilidades y es que gracias a sus innumerables tests de alta exigencia, es capaz de soportar el modo overclocking que hará poner a tu equipo al máximo rendimiento ofreciendo unas temper",Compatibilidad y limpieza: En cuanto a compatibilidad con sus procesadores no importa por el que te decantes. Este monstruo está preparado para enfriar tanto procesadores Intel como AMD. También su diseño está pensado para mantener limpios todos tus compo,Soporte: Intel: Socket LGA 775/1155/1156/1366/2011/1200/1700 (CPU Core i3 / i5 / i7/i9) AMD: AM4 / FM2 / FM1 / AM3 + / AM3 / AM2 + / AM2 / AM5,Intel: Socket LGA 775/1155/1156/1366/2011/1200/1700 (CPU Core i3 / i5 / i7/i9),AMD: AM4 / FM2 / FM1 / AM3 + / AM3 / AM2 + / AM2 / AM5,"Potencia de entrada: 3,84 W",Ventilador: N.I.T PWM x 3 Ventiladores,Tamaño ventiladores: 120x120x25 mm x3,Tamaño radiador: 395x120x27mm,Longitud tubo: 385mm,Diámetro tubo: 12.7mm
156,Samsung T7 SSD 2TB USB 3.2 Gris Carbón,Transferencia al instante. Transfiere tus archivos más grandes en segundos gracias a la increíble velocidad de USB 3.2 Gen2 en el T7. La tecnología PCIe NVMe integrada facilita las velocidades de lectura / escritura secuenciales de hasta 1.050 / 1.000 MB ,"Construido de manera fuerte y segura. SSD significa Solid State Drive (Unidad de Estado Sólido), lo que significa que está construido sin partes móviles. Un robusto cuerpo de metal protege el hardware del dispositivo, manteniendo tus datos a salvo incluso","Estilo elegante y compacto. De bolsillo y fino, El T7 viene de serie con un cuerpo ligero. Aproximadamente del tamaño de una tarjeta de crédito y con un peso de 58 gramos, su construcción unibody de aluminio sólido encaja cómodamente en la palma de tu man","Compatibilidad con varios dispositivos. Accede a tus archivos en cualquier momento y en cualquier lugar. El T7 es compatible con PC, Mac, dispositivos Android, videoconsolas y mucho más. Cables USB tipo C a C y tipo C a A incluidos en la caja para mayor c",Unidad de estado sólido,"SDD, capacidad: 2000 GB",NVMe: Si,Velocidad de lectura: 1050 MB/s,Velocidad de escritura: 1000 MB/s,"SDD, capacidad: 2000 GB",NVMe: Si,Velocidad de lectura: 1050 MB/s,Velocidad de escritura: 1000 MB/s,Puertos e Interfaces,Conector USB: USB Tipo C,Versión USB: 3.2 Gen 2 (3.1 Gen 2)
