categoria,nombre,rating
Barebones,ASUS ExpertCenter PN64-BB5013MD Intel Core i5-12500H,9.99
Barebones,ASUS NUC 13 RNUC13ANHI500002I Intel Core i5-1340P,9.99
Barebones,ASUS NUC 14 Pro UCFF RNUC14RVKU500002I Intel Core Ultra 5 125H,9.99
Barebones,ASUS ExpertCenter PN52-BBR758HD AMD Ryzen 7 5800H,9.99
Barebones,ASUS ExpertCenter PN64-BB7004MDE1 Intel Core i7-13700H,9.99
Barebones,ASUS NUC 13 RNUC13ANHI300002I Intel Core i3-1315U,9.99
Barebones,ASUS NUC 13 RNUC13ANHI700002I Intel Core i7-1360P,9.99
Discos duros externos,Crucial X9 SSD Disco Duro Externo 1TB USB-C,4.95
Kits de refrigeración líquida,Corsair NAUTILUS 240 RS Kit Refrigeración Líquida 240mm Negro,4.95
Kits de refrigeración líquida,Corsair iCUE LINK TITAN 360 RX RGB Kit Refrigeración Líquida 360mm Negra,4.95
Kits de refrigeración líquida,Corsair iCUE LINK TITAN 360 RX RGB Kit Refrigeración Líquida 360mm Blanca,4.95
Kits de refrigeración líquida,ASUS ProArt LC 420 Kit de Refrigeración Líquida 420mm Negro,4.95
Plus gold,Corsair RM1000x SHIFT 1000W 80 Plus Gold Modular,4.95
Plus gold,Seasonic Focus GX-850 ATX 3 PCIe 5.1 850W 80 Plus Gold Modular,4.95
Plus gold,Seasonic Focus GX-750 ATX 3 PCIe 5.1 750W 80 Plus Gold Modular,4.95
Ventiladores suplementarios,Corsair ICUE Link QX120 RGB Kit de Expansión de Ventilador PWM 120mm,4.95
Ventiladores suplementarios,Noctua NF-A12X25-PWM Ventilador Suplementario 120mm,4.95
Ventiladores suplementarios,Corsair iCUE LINK RX120 Expansion Fan Ventilador Suplementario PWM Negro,4.95
